Make general repairs on all your property–For each house pay $25–For each hotel $100,5,25 100,
Bank pays you dividend of $50,8,50
Pay poor tax of $15,8,15
Your building and loan matures—Collect $150,8,150
You have won a crossword competition—Collect $100,8,100
Advance to Illinois Ave—If you pass Go collect $200,10,24
Advance to St. Charles Place – If you pass Go collect $200,10,11
Take a trip to Reading Railroad–If you pass Go collect $200,10,5
Take a walk on the Boardwalk–Advance token to Boardwalk,10,39
Advance to Go (Collect $200),10,0 200
Get Out of Jail Free,1,
Go to Jail–Go directly to Jail–Do not pass Go. do not collect $200,3,10,
Advance token to nearest Utility. If unowned you may buy it from the Bank. If owned throw dice and pay owner a total ten times the amount thrown.,12,10,
You have been elected Chairman of the Board–Pay each player $50,7,50,
Go Back 3 Spaces,14,3,
Advance token to the nearest Railroad and pay owner twice the rental to which he/she {he} is otherwise entitled. If Railroad is unowned you may buy it from the Bank.,13,2,
